DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT
15/02/2024,15/02/2024 00:00,"רבי עקיבא 48, באר שבע",רבי עקיבא 48,38078-14-4,דירה בבית קומות,2,שניה,36.3,329000,,,1960,,3,11163440250,1,38078-14,FALSE,
15/02/2024,15/02/2024 00:00,"מבצע נחשון 46, באר שבע",מבצע נחשון 46,38128-15-31,דירה בבית קומות,3,שלישית,71,785000,,,1970,,3,11163675690,1,38128-15,FALSE,90% ב 10.1 שנים
14/02/2024,14/02/2024 00:00,"רוטנברג 10, באר שבע",רוטנברג 10,38027-9-33,דירה בבית קומות,3,שניה,46.4,690000,,,1960,,4,11163631770,1,38027-9,FALSE,
14/02/2024,14/02/2024 00:00,,,38009-51-2,דירה בבית קומות,5,אחת עשרה,163,2830000,,,2024,,,11163621510,2,38009-51,FALSE,
14/02/2024,14/02/2024 00:00,,,38009-50-16,דירה בבית קומות,5,רביעית,124,1810000,,,2024,,,11163479580,2,38009-50,FALSE,
14/02/2024,14/02/2024 00:00,"ירושלים 2, באר שבע",ירושלים 2,38058-31-26,דירה בבית קומות,4.5,שלוש עשרה,150,1220000,,,1995,,12,11163549510,1,38058-31,FALSE,
14/02/2024,14/02/2024 00:00,,,38068-1-13,דירה בבית קומות,3,חמש עשרה,80,1300000,,,2022,,,11164415130,2,38068-1,FALSE,
14/02/2024,14/02/2024 00:00,"יעלים 98, באר שבע",יעלים 98,38101-31-8,דירה בבית קומות,3,רביעית,61.2,560000,,,1970,,4,11163989700,1,38101-31,FALSE,202% ב 5.5 שנים
14/02/2024,14/02/2024 00:00,"פיארברג 34, באר שבע",פיארברג 34,38139-21-32,דירה בבית קומות,4,רביעית,94,1535000,,,2000,,4,11163471390,1,38139-21,FALSE,25% ב 2.7 שנים
14/02/2024,14/02/2024 00:00,"מוצא 9, באר שבע",מוצא 9,38111-109-94,דירה בבית קומות,4,חמישית,89,1360000,,,2002,,9,11163657150,1,38111-109,FALSE,4% ב 6.2 שנים
18/01/2024,18/01/2024 00:00,"וינגייט 76, באר שבע",וינגייט 76,38127-2-19,דירה בבית קומות,3,חמישית,64,910000,,,1970,,8,11161341990,1,38127-2,FALSE,7% ב 5.7 שנים
18/01/2024,18/01/2024 00:00,"מוצא 7, באר שבע",מוצא 7,38111-109-42,דירה בבית קומות,5,שביעית,98,1555000,,,2001,,11,11161357380,1,38111-109,FALSE,187% ב 23 שנים
18/01/2024,18/01/2024 00:00,"רוזנבלום הרצל 13, באר שבע",רוזנבלום הרצל 13,38145-30-30,דירה בבית קומות,3,שישית,74.5,965000,,,1998,,9,11162089710,1,38145-30,FALSE,
18/01/2024,18/01/2024 00:00,"מקלף מרדכי 53, באר שבע",מקלף מרדכי 53,38353-22-3,דירה בבית קומות,4,ראשונה,79,1200000,,,1996,,5,11162359800,1,38353-22,FALSE,238% ב 19.5 שנים
18/01/2024,18/01/2024 00:00,"ישראל גלילי 31, באר שבע",ישראל גלילי 31,38368-3-10,דירה בבית קומות,4,שניה,97,1275000,,,2003,,4,11161488960,1,38368-3,FALSE,13% ב 5 שנים
18/01/2024,18/01/2024 00:00,"צוקית 30, באר שבע",צוקית 30,38265-130-13,קוטג' דו משפחתי,6,"קומה ‎0‏, קומה ‎1‏",160.23,2700000,,,2012,,1,11162002050,1,38265-130,FALSE,
18/01/2024,18/01/2024 00:00,"הרב אונטרמן 26, באר שבע",הרב אונטרמן 26,38354-89-2,קוטג' דו משפחתי,6,ראשונה,183,2680000,,,2014,,,11162376900,1,38354-89,FALSE,
18/01/2024,18/01/2024 00:00,,,38491-7-3,דירה בבית קומות,4,ראשונה,117,1610000,,,2024,,,11162149920,2,38491-7,FALSE,
18/01/2024,18/01/2024 00:00,,,38491-5-8,דירה בבית קומות,5,שלישית,124,1830000,,,2022,,,11162968920,2,38491-5,FALSE,
18/01/2024,18/01/2024 00:00,,,38492-3-7,דירה בבית קומות,4,שמינית,107,1620000,,,2024,,,11162163150,2,38492-3,FALSE,
17/01/2024,17/01/2024 00:00,"יד ושם 24, באר שבע",יד ושם 24,38030-4-81,דירה בבית קומות,2,שישית,55,540000,,,1996,,17,11161514250,1,38030-4,FALSE,
17/01/2024,17/01/2024 00:00,"השלום 67, באר שבע",השלום 67,38028-19-26,דירה בבית קומות,3,שלישית,67.2,905000,,,1970,,3,11161491930,1,38028-19,FALSE,25% ב 3 שנים
17/01/2024,17/01/2024 00:00,"קדש 4, באר שבע",קדש 4,38073-99-30,דירה בבית קומות,3,שניה,63.5,820000,,,1970,,3,11162552220,1,38073-99,FALSE,34% ב 11.2 שנים
17/01/2024,17/01/2024 00:00,"ברנפלד שמעון 7, באר שבע",ברנפלד שמעון 7,38091-31-15,דירה בבית קומות,3,רביעית,51.7,760000,,,1960,,4,11161292220,1,38091-31,FALSE,5% ב 4 שנים
17/01/2024,17/01/2024 00:00,"מצדה 75, באר שבע",מצדה 75,38085-24-4,דירה בבית קומות,3,ראשונה,67.4,600000,,,1970,,4,11163279150,1,38085-24,FALSE,
17/01/2024,17/01/2024 00:00,"הרב הרצוג 41, באר שבע",הרב הרצוג 41,38124-37-4,דירה בבית קומות,3,ראשונה,64.6,340000,,,1990,,8,11162413440,1,38124-37,FALSE,
17/01/2024,17/01/2024 00:00,"אליעזר שמאלי 1, באר שבע",אליעזר שמאלי 1,38191-2-59,דירה בבית קומות,3.5,חמישית,83.5,1080000,,,1998,,7,11161837890,1,38191-2,FALSE,239% ב 17 שנים
17/01/2024,17/01/2024 00:00,"אשכולית 42, באר שבע",אשכולית 42,38363-2-7,דירה בבית קומות,4,ראשונה,125,1565000,,,2018,,4,11162050290,1,38363-2,FALSE,
17/01/2024,17/01/2024 00:00,,,38492-3-8,דירה בבית קומות,3,חמישית,80,1340000,,,2024,,,11162146860,2,38492-3,FALSE,
16/01/2024,16/01/2024 00:00,"זאב ז'בוטינסקי 28, באר שבע",זאב ז'בוטינסקי 28,38031-44-3,דירה בבית קומות,5,שניה,100,1220000,,,1970,,2,11163096540,1,38031-44,FALSE,49% ב 3.1 שנים
22/01/2024,22/01/2024 00:00,"לאה 14, באר שבע",לאה 14,38169-60-1,קוטג' דו משפחתי,3,ראשונה,60,1220000,,,1993,,,11161652310,1,38169-60,FALSE,
22/01/2024,22/01/2024 00:00,"שמואל רודנסקי 44, באר שבע",שמואל רודנסקי 44,38162-8-3,דירה בבית קומות,5,ראשונה,150,2175000,,,2002,,1,11161767510,1,38162-8,FALSE,
22/01/2024,22/01/2024 00:00,,,38492-3-6,דירה בבית קומות,5,רביעית,137,1800000,,,2024,,,11162151360,2,38492-3,FALSE,
21/01/2024,21/01/2024 00:00,,,38009-53-3,דירה בבית קומות,4,אחת עשרה,108,1646000,,,,,,11161637370,2,38009-53,FALSE,
21/01/2024,21/01/2024 00:00,,,38009-50-24,דירה בבית קומות,5,חמישית,124,1810000,,,2023,,,11162100780,2,38009-50,FALSE,
21/01/2024,21/01/2024 00:00,,,38068-1-23,דירה בבית קומות,3,ארבע עשרה,80,1280000,,,2022,,,11161811160,2,38068-1,FALSE,
21/01/2024,21/01/2024 00:00,"מבצע יואב 41, באר שבע",מבצע יואב 41,38094-29-24,דירה בבית קומות,3,רביעית,65,550000,,,1980,2010,4,11161782270,1,38094-29,FALSE,
21/01/2024,21/01/2024 00:00,"אליהו הנביא 10, באר שבע",אליהו הנביא 10,38079-14-8,דירה בבית קומות,3,ראשונה,40.4,600000,,,1970,,3,11161876500,1,38079-14,FALSE,9% ב 4.4 שנים
21/01/2024,21/01/2024 00:00,"מבצע ברוש 7, באר שבע",מבצע ברוש 7,38108-146-4,דירה בבית קומות,4,שניה,74,1050000,,,1998,,9,11161705770,1,38108-146,FALSE,167% ב 22.1 שנים
21/01/2024,21/01/2024 00:00,"ישראל ישעיהו 10, באר שבע",ישראל ישעיהו 10,38131-33-45,דירה בבית קומות,3,שלישית,66,880000,,,1990,,4,11161515690,1,38131-33,FALSE,18% ב 5.5 שנים
21/01/2024,21/01/2024 00:00,"סוקולוב 8, באר שבע",סוקולוב 8,38264-4-47,דירה בבית קומות,4,שלישית,82.9,1030000,,,1970,,4,11161809720,1,38264-4,FALSE,24% ב 4.8 שנים
19/01/2024,19/01/2024 00:00,,,38068-1-24,דירה בבית קומות,3,שתים עשרה,80,1300000,,,2022,,,11161802250,2,38068-1,FALSE,
19/01/2024,19/01/2024 00:00,"אלכסנדר ינאי 32, באר שבע",אלכסנדר ינאי 32,38072-3-11,דירה בבית קומות,4,שלישית,78,825000,,,1960,,3,11161360440,1,38072-3,TRUE,-4% ב 5 שנים
19/01/2024,19/01/2024 00:00,"הרב יוסף סוסו הכהן 4, באר שבע",הרב יוסף סוסו הכהן 4,38073-101-17,דירה בבית קומות,2,קרקע,40.5,700000,,,1960,,3,11163733560,1,38073-101,FALSE,13% ב 7.9 שנים
19/01/2024,19/01/2024 00:00,"טבנקין 38, באר שבע",טבנקין 38,38102-5-11,דירה בבית קומות,3,שלישית,66.2,595000,,,1970,,3,11161728810,1,38102-5,FALSE,0% ב 6.7 שנים
19/01/2024,19/01/2024 00:00,"מאיר גרוסמן 14, באר שבע",מאיר גרוסמן 14,38146-12-36,דירה בבית קומות,4,שניה,82,1195000,,,1997,,4,11162006460,1,38146-12,FALSE,25% ב 2.8 שנים
19/01/2024,19/01/2024 00:00,"אברהם מאפו 2, באר שבע",אברהם מאפו 2,38139-15-24,דירה בבית קומות,4,ראשונה,83.6,1350000,,,1999,,4,11162379240,1,38139-15,FALSE,17% ב 2.4 שנים
19/01/2024,19/01/2024 00:00,"חיים גבריהו 5, באר שבע",חיים גבריהו 5,38355-11-3,דירה בבית קומות,4,ראשונה,96,1333000,,,1950,,2,11162374740,1,38355-11,FALSE,
18/01/2024,18/01/2024 00:00,"פטל 1, באר שבע",פטל 1,38011-7-25,דירה בבית קומות,5,ראשונה,130,1950000,,,2016,,3,11161307070,1,38011-7,FALSE,
18/01/2024,18/01/2024 00:00,"אלכסנדר ינאי 17, באר שבע",אלכסנדר ינאי 17,38072-39-48,דירה בבית קומות,2,חמישית,39.7,780000,,,2013,,13,11161672290,1,38072-39,FALSE,18% ב 7.3 שנים
24/01/2024,24/01/2024 00:00,"הרב שלמה טנא 12, באר שבע",הרב שלמה טנא 12,38389-45-33,דירה בבית קומות,3,קומה ‎7‏,75,1240000,,,2007,,14,11162177190,1,38389-45,FALSE,
24/01/2024,24/01/2024 00:00,"גדעון האוזנר 55, באר שבע",גדעון האוזנר 55,38365-18-26,דירה בבית קומות,4,קומה ‎2‏,98.4,1570000,,,2015,,10,11162120130,1,38365-18,FALSE,49% ב 8.5 שנים
24/01/2024,24/01/2024 00:00,,,38492-3-5,דירה בבית קומות,3,שביעית,80,1350000,,,2024,,,11162161710,2,38492-3,FALSE,
23/01/2024,23/01/2024 00:00,"התקווה 14, באר שבע",התקווה 14,38016-51-162,דירה בבית קומות,5,קומה ‎14‏,114.5,1535000,,,2007,,25,11162193570,1,38016-51,FALSE,79% ב 15.4 שנים
23/01/2024,23/01/2024 00:00,,,38009-50-21,דירה בבית קומות,4,שישית,125,1600000,,,2023,,,11162130480,2,38009-50,FALSE,
23/01/2024,23/01/2024 00:00,"צבייה המלכה 12, באר שבע",צבייה המלכה 12,38072-33-5,דירה בבית קומות,3,קרקע,35.6,680000,,,1983,,,11163511530,1,38072-33,FALSE,
23/01/2024,23/01/2024 00:00,"אסוולדו ארניה 7, באר שבע",אסוולדו ארניה 7,38092-44-21,דירה בבית קומות,3,רביעית,46.5,780000,,,1960,,4,11161955340,1,38092-44,TRUE,-6% ב 1.7 שנים
23/01/2024,23/01/2024 00:00,"משה שרת 40, באר שבע",משה שרת 40,38124-60-4,דירה בבית קומות,4,ראשונה,79.8,1061000,,,1992,,8,11161920420,1,38124-60,FALSE,212% ב 22.3 שנים
23/01/2024,23/01/2024 00:00,"אמציה 7, באר שבע",אמציה 7,38108-75-11,דירה בבית קומות,4,שניה,82,840000,,,1980,,4,11162508390,1,38108-75,FALSE,133% ב 14.6 שנים
23/01/2024,23/01/2024 00:00,"מיכאל זהרי 31, באר שבע",מיכאל זהרי 31,38396-39-1,קוטג' דו משפחתי,5,ראשונה,231,1950000,,,1990,,1,11162366550,1,38396-39,FALSE,
22/01/2024,22/01/2024 00:00,"גוש עציון 27, באר שבע",גוש עציון 27,38028-41-4,דירה בבית קומות,4,ראשונה,98.6,1085000,,,1970,,1,11163140370,1,38028-41,FALSE,92% ב 11.6 שנים
22/01/2024,22/01/2024 00:00,,,38009-51-4,דירה בבית קומות,5,תשיעית,124,1800000,,,2023,,,11162002680,2,38009-51,FALSE,
22/01/2024,22/01/2024 00:00,,,38009-50-23,דירה בבית קומות,5,חמישית,124,1780000,,,2023,,,11162028060,2,38009-50,FALSE,
22/01/2024,22/01/2024 00:00,"מצדה 232, באר שבע",מצדה 232,38103-37-5,דירה בבית קומות,3,שלישית,57.5,635000,,,1970,,4,11162734920,1,38103-37,FALSE,9% ב 5.5 שנים
22/01/2024,22/01/2024 00:00,"הרא""ש 9, באר שבע","הרא""ש 9",38103-44-18,דירה בבית קומות,4,רביעית,79,900000,,,1980,,8,11162102310,1,38103-44,FALSE,158% ב 24.5 שנים
22/01/2024,22/01/2024 00:00,"שרת משה 14, באר שבע",שרת משה 14,38105-14-1,דירה בבית קומות,3.5,ראשונה,63.1,765000,,,1970,,4,11162098620,1,38105-14,FALSE,
22/01/2024,22/01/2024 00:00,"טבנקין 10, באר שבע",טבנקין 10,38102-1-59,דירה בבית קומות,3,שלישית,65.9,685000,,,1980,,3,11161598130,1,38102-1,FALSE,185% ב 14.4 שנים
22/01/2024,22/01/2024 00:00,"אברהם אבינו 33, באר שבע",אברהם אבינו 33,38079-16-22,דירה בבית קומות,3,שניה,64.7,745000,,,1970,,3,11162097000,1,38079-16,FALSE,39% ב 10.5 שנים
22/01/2024,22/01/2024 00:00,"אלעזר בן-יאיר 6, באר שבע",אלעזר בן-יאיר 6,38079-32-24,דירה בבית קומות,2,שלישית,33.5,590000,,,1960,,3,11161716840,1,38079-32,TRUE,-3% ב 2.2 שנים
22/01/2024,22/01/2024 00:00,"מבצע עובדה 16, באר שבע",מבצע עובדה 16,38094-25-4,דירה בבית קומות,3,ראשונה,61.5,105000,,,1970,,4,11161696230,1,38094-25,FALSE,
26/01/2024,26/01/2024 00:00,"מרדכי מקלף 3, באר שבע",מרדכי מקלף 3,38356-15-59,,3,שביעית,57.8,800000,,,1992,,8,11161903320,1,38356-15,FALSE,
25/01/2024,25/01/2024 00:00,"וינגייט 10, באר שבע",וינגייט 10,38027-42-46,דירה בבית קומות,3,ראשונה,62.3,950000,,,1960,,3,11162378520,1,38027-42,FALSE,31% ב 3.3 שנים
25/01/2024,25/01/2024 00:00,"הזוהר 15, באר שבע",הזוהר 15,38090-51-2,בית בודד,5,ראשונה,144,1350000,,,2009,,1,11162118600,1,38090-51,FALSE,
25/01/2024,25/01/2024 00:00,"מצדה 72, באר שבע",מצדה 72,38085-16-2,דירה בבית קומות,4,קרקע,92,1250000,,,1960,,,11162656170,1,38085-16,FALSE,36% ב 7.9 שנים
25/01/2024,25/01/2024 00:00,"יצחק שיפר 1, באר שבע",יצחק שיפר 1,38091-16-8,דירה בבית קומות,3,רביעית,46.2,710000,,,1960,2019,4,11162116440,1,38091-16,FALSE,22% ב 4.6 שנים
25/01/2024,25/01/2024 00:00,"מוריה 3, באר שבע",מוריה 3,38116-6-7,דירה בבית קומות,3,ראשונה,57.8,830000,,,1970,,4,11161953000,1,38116-6,FALSE,
25/01/2024,25/01/2024 00:00,"דוד ניב ניב 11, באר שבע",דוד ניב ניב 11,38189-59-54,דירה בבית קומות,4,תשיעית,90.4,1290000,,,1999,,11,11161831320,1,38189-59,FALSE,17% ב 5.7 שנים
25/01/2024,25/01/2024 00:00,"זמנהוף 3, באר שבע",זמנהוף 3,38175-30-7,קוטג' דו משפחתי,6,קרקע ראשונה,98,2050000,,,1995,,,11162359080,1,38175-30,FALSE,36% ב 4.2 שנים
25/01/2024,25/01/2024 00:00,"הערים התאומות 2, באר שבע",הערים התאומות 2,38375-3-8,דירה בבית קומות,4,ראשונה,90.8,1200000,,,2001,,6,11161872090,1,38375-3,FALSE,142% ב 15.5 שנים
25/01/2024,25/01/2024 00:00,,,38389-23-77,דירה בבית קומות,4,ראשונה,125,1390000,,,,,,11161886310,2,38389-23,FALSE,
25/01/2024,25/01/2024 00:00,,,38491-18-3,דירה בבית קומות,5,,124,1800000,,,2023,,,11163376440,2,38491-18,FALSE,
24/01/2024,24/01/2024 00:00,"יד ושם 24, באר שבע",יד ושם 24,38030-4-82,דירה בבית קומות,1,שלוש עשרה,,400000,,,1996,,17,11162218230,1,38030-4,FALSE,
24/01/2024,24/01/2024 00:00,"ביאליק 31, באר שבע",ביאליק 31,38074-50-8,דירה בבית קומות,3,רביעית,54.8,909000,,,1970,,4,11161900980,1,38074-50,FALSE,4% ב 0.4 שנים
24/01/2024,24/01/2024 00:00,"יעלים 58, באר שבע",יעלים 58,38069-133-16,דירה בבית קומות,3,רביעית,55.4,580000,,,1970,,4,11161879560,1,38069-133,FALSE,5% ב 5.1 שנים
24/01/2024,24/01/2024 00:00,"שרת משה 22, באר שבע",שרת משה 22,38105-11-30,דירה בבית קומות,4,שמינית,79,850000,,,1980,,8,11163132180,1,38105-11,FALSE,11% ב 5.8 שנים
24/01/2024,24/01/2024 00:00,"אליהו הנביא 2, באר שבע",אליהו הנביא 2,38079-111-165,דירה בבית קומות,1,קומה ‎8‏,33,435000,,,1995,,14,11161983510,1,38079-111,FALSE,
24/01/2024,24/01/2024 00:00,"ירושלים 67, באר שבע",ירושלים 67,38115-1-6,דירה בבית קומות,3,שלישית,59.5,700000,,,1980,,4,11162090430,1,38115-1,FALSE,7% ב 1.5 שנים
24/01/2024,24/01/2024 00:00,"דוד טוביהו 121, באר שבע",דוד טוביהו 121,38110-5-249,דירה בבית קומות,5,עשרים ושש,212,2290000,,,2019,,30,11162506320,1,38110-5,FALSE,
24/01/2024,24/01/2024 00:00,"יהושע ייבין 17, באר שבע",יהושע ייבין 17,38187-55-22,דירה בבית קומות,4,ראשונה,90,1280000,,,2003,,5,11161930680,1,38187-55,FALSE,19% ב 2.7 שנים
24/01/2024,24/01/2024 00:00,"מצדה 132, באר שבע",מצדה 132,38128-13-3,דירה בבית קומות,4,ראשונה,82,800000,,,1970,,3,11162253600,1,38128-13,FALSE,25% ב 9.5 שנים
31/01/2024,31/01/2024 00:00,,,38491-5-7,דירה בבית קומות,4,,111,1950000,,,2022,,,11162982150,2,38491-5,FALSE,
30/01/2024,30/01/2024 00:00,,,38009-51-3,דירה בבית קומות,5,עשירית,124,1870000,,,2023,,,11162403810,2,38009-51,FALSE,
30/01/2024,30/01/2024 00:00,,,38068-1-19,דירה בבית קומות,4,שלוש עשרה,117,1570000,,,2022,,,11162458710,2,38068-1,FALSE,
30/01/2024,30/01/2024 00:00,"המשחררים 71, באר שבע",המשחררים 71,38057-11-10,דירה בבית קומות,4,שניה,90.1,1170000,,,1970,,3,11162131200,1,38057-11,FALSE,35% ב 2.2 שנים
30/01/2024,30/01/2024 00:00,"אלעזר בן-יאיר 8, באר שבע",אלעזר בן-יאיר 8,38079-31-17,דירה בבית קומות,2,שלישית,33.5,620000,,,1960,,3,11162369610,1,38079-31,FALSE,21% ב 2.8 שנים
30/01/2024,30/01/2024 00:00,"דוד ניב ניב 3, באר שבע",דוד ניב ניב 3,38191-7-18,דירה בבית קומות,5,רביעית,108,1620000,,,2003,,9,11162223360,1,38191-7,FALSE,168% ב 20.3 שנים
30/01/2024,30/01/2024 00:00,,,38421-34-5,דירה בבית קומות,5,שלישית,126,1304000,,,,,,11163257550,2,38421-34,FALSE,
29/01/2024,29/01/2024 00:00,,,38068-1-21,דירה בבית קומות,4,רביעית,117,1550000,,,2022,,,11162745270,2,38068-1,FALSE,
29/01/2024,29/01/2024 00:00,,,38491-18-2,דירה בבית קומות,4,,106,1610000,,,2023,,,11163184830,2,38491-18,FALSE,
29/01/2024,29/01/2024 00:00,,,38492-39-2,דירה בבית קומות,4,,110,1856000,,,2024,,,11164251060,2,38492-39,FALSE,
28/01/2024,28/01/2024 00:00,,,38009-50-20,דירה בבית קומות,5,שמינית,125,1825000,,,2023,,,11162370330,2,38009-50,FALSE,
28/01/2024,28/01/2024 00:00,"צקלג 5, באר שבע",צקלג 5,38073-153-1,דירה בבית קומות,4,קרקע,74.1,980000,,,1960,,1,11161985580,1,38073-153,FALSE,37% ב 9 שנים
28/01/2024,28/01/2024 00:00,"גלעד 8, באר שבע",גלעד 8,38073-29-14,דירה בבית קומות,4,קרקע,68.5,700000,,,1960,,2,11162183220,1,38073-29,FALSE,13% ב 3.9 שנים
28/01/2024,28/01/2024 00:00,"הנרי קנדל 4, באר שבע",הנרי קנדל 4,38035-62-29,דירה בבית קומות,5,תשיעית עשירית,137,1935000,,,2000,,9,11162991060,1,38035-62,FALSE,174% ב 20.4 שנים
28/01/2024,28/01/2024 00:00,"אוסישקין 2, באר שבע",אוסישקין 2,38023-10-38,דירה בבית קומות,3,שניה,59,720000,,,1970,,4,11162274390,1,38023-10,FALSE,0% ב 1.8 שנים
28/01/2024,28/01/2024 00:00,,,38068-1-22,דירה בבית קומות,3,אחת עשרה,80,1290000,,,2022,,,11163066030,2,38068-1,FALSE,
28/01/2024,28/01/2024 00:00,"מאיר יערי 26, באר שבע",מאיר יערי 26,38131-17-8,קוטג' דו משפחתי,5,קרקע + ראשונה שניה,118.76,1200000,,,1991,,,11162726010,1,38131-17,FALSE,
26/01/2024,26/01/2024 00:00,"המעפילים 20, באר שבע",המעפילים 20,38031-9-10,דירה בבית קומות,4,ראשונה,76,780000,,,1960,,3,11162078460,1,38031-9,FALSE,
26/01/2024,26/01/2024 00:00,"אברהם אבינו 6, באר שבע",אברהם אבינו 6,38072-27-2,דירה בבית קומות,4,ראשונה,84.3,1150000,,,1960,,2,11162647980,1,38072-27,FALSE,
26/01/2024,26/01/2024 00:00,"הערים התאומות 6, באר שבע",הערים התאומות 6,38375-12-34,דירה בבית קומות,4,שניה,86,1285000,,,2000,,5,11162079180,1,38375-12,FALSE,76% ב 13.3 שנים
01/02/2024,01/02/2024 00:00,"יותם 5, באר שבע",יותם 5,38108-89-9,דירה בבית קומות,4,רביעית,79.3,695000,,,1990,,4,11162495790,1,38108-89,FALSE,7% ב 1.8 שנים
01/02/2024,01/02/2024 00:00,,,38098-141-111,דירה בבית קומות,5,שלוש עשרה,114,1400000,,,,,,11162302020,2,38098-141,FALSE,91% ב 14.6 שנים
01/02/2024,01/02/2024 00:00,"יצחק רגר 138, באר שבע",יצחק רגר 138,38092-5-12,דירה בבית קומות,4,שניה,75.5,970000,,,1970,,4,11162385090,1,38092-5,FALSE,40% ב 9.7 שנים
01/02/2024,01/02/2024 00:00,"ציזלינג 13, באר שבע",ציזלינג 13,38131-14-1,דירה בבית קומות,4,קרקע,71.8,1200000,,,1992,,3,11164455990,1,38131-14,FALSE,
01/02/2024,01/02/2024 00:00,"דב יוסף 16, באר שבע",דב יוסף 16,38131-35-8,דירה בבית קומות,4,שניה,84.9,980000,,,1993,,,11162760930,1,38131-35,FALSE,14% ב 4 שנים
01/02/2024,01/02/2024 00:00,"דוד אלעזר 31, באר שבע",דוד אלעזר 31,38353-2-102,דירה בבית קומות,3,שניה,68,950000,,,2000,,9,11162431080,1,38353-2,FALSE,5% ב 3.2 שנים
01/02/2024,01/02/2024 00:00,"שמשון עמיצור 13, באר שבע",שמשון עמיצור 13,38371-11-21,דירה בבית קומות,4,ראשונה,88,1330000,,,2008,,6,11162382210,1,38371-11,FALSE,31% ב 8.8 שנים
01/02/2024,01/02/2024 00:00,,,38421-34-3,דירה בבית קומות,5,רביעית,158,2740000,,,,,,11163266460,2,38421-34,FALSE,
01/02/2024,01/02/2024 00:00,"יוסף שטרן 3, באר שבע",יוסף שטרן 3,38375-26-7,קוטג' דו משפחתי,5,ראשונה,167,2920000,,,2014,,1,11163122550,1,38375-26,FALSE,71% ב 10.2 שנים
31/01/2024,31/01/2024 00:00,"תדהר 6, באר שבע",תדהר 6,38009-56-1,דירה בבית קומות,4,תשיעית,115,1580000,,,2019,,,11162402190,1,38009-56,FALSE,
31/01/2024,31/01/2024 00:00,"גולומב 27, באר שבע",גולומב 27,38029-147-4,דירה בבית קומות,2,ראשונה,37.7,118000,,,1950,,1,11162444400,1,38029-147,FALSE,
31/01/2024,31/01/2024 00:00,,,38020-48-120,דירה בבית קומות,5,עשרים ושש,130,1850000,,,2019,,,11163862080,2,38020-48,FALSE,
31/01/2024,31/01/2024 00:00,"אבן גבירול 4, באר שבע",אבן גבירול 4,38070-109-5,דירה בבית קומות,3,שלישית,62.1,1095000,,,1960,,3,11162311650,1,38070-109,FALSE,56% ב 9 שנים
31/01/2024,31/01/2024 00:00,"אברהם אבינו 33, באר שבע",אברהם אבינו 33,38079-16-28,דירה בבית קומות,5,שלישית,88,901000,,,1970,,3,11162617470,1,38079-16,FALSE,112% ב 12.3 שנים
